# PX4 Flight Data Log
# Test started: 2025-12-23 17:49:35
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0172, 3.0172, -0.0646, 0.693750, 0.090517, 0.000000, 0.003232, 0.000439, -0.04, 0.02, 95.86, 0.04
0.021, TAKEOFF, -0.0163, 3.0163, -0.0638, 0.693677, 0.090488, 0.000000, 0.003189, 0.063350, -0.04, 0.02, 95.87, 0.03
0.041, TAKEOFF, -0.0153, 3.0153, -0.0629, 0.693604, 0.090460, 0.000000, 0.003144, 0.125463, -0.04, 0.02, 95.88, -0.00
0.062, TAKEOFF, -0.0145, 3.0145, -0.0622, 0.693543, 0.090435, 0.000000, 0.003108, 0.150000, -0.04, 0.02, 95.89, -0.01
0.083, TAKEOFF, -0.0138, 3.0138, -0.0614, 0.693486, 0.090414, 0.000000, 0.003071, 0.150000, -0.05, 0.01, 95.90, 0.05
0.103, TAKEOFF, -0.0133, 3.0133, -0.0609, 0.693445, 0.090400, 0.000000, 0.003044, 0.150000, -0.05, 0.01, 95.91, 0.02
0.294, TAKEOFF, -0.0132, 3.0132, -0.0604, 0.693416, 0.090396, 0.000000, 0.003020, 0.150000, -0.05, 0.01, 95.91, -0.05
0.636, TAKEOFF, -0.0132, 3.0132, -0.0600, 0.693398, 0.090397, 0.000000, 0.003001, 0.150000, -0.06, 0.01, 95.91, -0.03
0.981, TAKEOFF, -0.0587, 3.0587, -0.0596, 0.694742, 0.091761, 0.000000, 0.002980, 0.150000, -0.04, 0.00, 95.92, 0.00
1.284, TAKEOFF, -0.0586, 3.0586, -0.0592, 0.694720, 0.091758, 0.000000, 0.002962, 0.150000, -0.04, 0.00, 95.93, -0.02
1.579, TAKEOFF, -0.0587, 3.0587, -0.0593, 0.694723, 0.091760, 0.000000, 0.002964, 0.150000, -0.04, 0.00, 95.93, 0.00
1.917, TAKEOFF, -0.0588, 3.0588, -0.0590, 0.694711, 0.091763, 0.000000, 0.002948, 0.150000, -0.04, 0.00, 95.93, 0.02
2.242, TAKEOFF, -0.0588, 3.0588, -0.0585, 0.694690, 0.091764, 0.000000, 0.002926, 0.150000, -0.04, 0.00, 95.93, -0.01
2.495, TAKEOFF, -0.0586, 3.0586, -0.0580, 0.694658, 0.091759, 0.000000, 0.002899, 0.150000, -0.03, 0.00, 95.93, 0.04
2.760, TAKEOFF, -0.0533, 3.0533, -0.0530, 0.694248, 0.091599, 0.000000, 0.002650, 0.150000, -0.01, 0.02, 95.90, 0.01
3.024, TAKEOFF, -0.0526, 3.0526, -0.0528, 0.694217, 0.091577, 0.000000, 0.002640, 0.150000, -0.01, 0.02, 95.90, 0.06
3.308, TAKEOFF, -0.0457, 3.0457, -0.0489, 0.693817, 0.091371, 0.000000, 0.002447, 0.150000, -0.00, 0.03, 95.89, -0.01
3.580, TAKEOFF, -0.0447, 3.0447, -0.0485, 0.693763, 0.091340, 0.000000, 0.002423, 0.150000, -0.01, 0.03, 95.89, -0.03
3.863, TAKEOFF, -0.0375, 3.0375, -0.0440, 0.693323, 0.091125, 0.000000, 0.002198, 0.150000, -0.03, 0.03, 95.90, 0.01
4.155, TAKEOFF, -0.0370, 3.0370, -0.0437, 0.693292, 0.091109, 0.000000, 0.002183, 0.150000, -0.03, 0.03, 95.90, 0.01
4.415, TAKEOFF, -0.0340, 3.0340, -0.0408, 0.693061, 0.091021, 0.000000, 0.002040, 0.150000, -0.06, 0.03, 95.93, -0.05
4.690, TAKEOFF, -0.0336, 3.0336, -0.0407, 0.693039, 0.091007, 0.000000, 0.002033, 0.150000, -0.06, 0.03, 95.93, -0.04
4.943, TAKEOFF, -0.0294, 3.0294, -0.0386, 0.692814, 0.090883, 0.000000, 0.001931, 0.150000, -0.06, 0.03, 95.93, -0.01
5.205, TAKEOFF, -0.0294, 3.0294, -0.0386, 0.692815, 0.090883, 0.000000, 0.001932, 0.150000, -0.06, 0.03, 95.93, 0.01
5.381, TAKEOFF, -0.0317, 3.0317, -0.0382, 0.692859, 0.090951, 0.000000, 0.001909, 0.150000, -0.06, 0.03, 95.92, -0.04
5.654, TAKEOFF, -0.0326, 3.0326, -0.0383, 0.692894, 0.090978, 0.000000, 0.001916, 0.150000, -0.06, 0.03, 95.92, -0.02
5.940, TAKEOFF, -0.0379, 3.0379, -0.0396, 0.693118, 0.091136, 0.000000, 0.001982, 0.150000, -0.05, 0.02, 95.91, -0.02
6.133, TAKEOFF, -0.0379, 3.0379, -0.0395, 0.693114, 0.091137, 0.000000, 0.001977, 0.150000, -0.05, 0.02, 95.91, -0.02
6.415, TAKEOFF, -0.0410, 3.0410, -0.0411, 0.693282, 0.091230, 0.000000, 0.002053, 0.150000, -0.04, 0.01, 95.91, -0.04
6.689, TAKEOFF, -0.0415, 3.0415, -0.0412, 0.693305, 0.091245, 0.000000, 0.002060, 0.150000, -0.04, 0.01, 95.92, -0.03
