# PX4 Flight Data Log
# Test started: 2025-12-23 17:33:16
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0370, 3.0370, -0.0090, 0.772383, 0.121482, 0.000000, 0.000902, 0.000398, -0.04, 0.04, 95.98, 0.03
0.021, TAKEOFF, -0.0392, 3.0392, -0.0098, 0.772544, 0.121567, 0.000000, 0.000978, 0.063491, -0.04, 0.04, 95.98, 0.03
0.041, TAKEOFF, -0.0412, 3.0412, -0.0105, 0.772699, 0.121647, 0.000000, 0.001052, 0.126068, -0.04, 0.04, 95.98, -0.03
0.062, TAKEOFF, -0.0430, 3.0430, -0.0111, 0.772831, 0.121718, 0.000000, 0.001113, 0.150000, -0.04, 0.04, 95.98, 0.00
0.082, TAKEOFF, -0.0450, 3.0450, -0.0116, 0.772964, 0.121799, 0.000000, 0.001165, 0.150000, -0.04, 0.03, 95.98, -0.00
0.103, TAKEOFF, -0.0473, 3.0473, -0.0126, 0.773153, 0.121893, 0.000000, 0.001260, 0.150000, -0.04, 0.03, 95.99, -0.03
0.299, TAKEOFF, -0.0493, 3.0493, -0.0134, 0.773312, 0.121974, 0.000000, 0.001338, 0.150000, -0.04, 0.03, 95.99, -0.04
0.649, TAKEOFF, -0.0515, 3.0515, -0.0140, 0.773461, 0.122059, 0.000000, 0.001402, 0.150000, -0.04, 0.03, 96.00, 0.03
1.009, TAKEOFF, -0.0308, 3.0308, -0.0038, 0.771616, 0.121234, 0.000000, 0.000382, 0.150000, -0.01, -0.02, 96.07, -0.05
1.305, TAKEOFF, -0.0296, 3.0296, 0.0432, 0.766861, 0.121185, 0.000000, -0.004323, 0.150000, -0.01, -0.02, 96.07, 0.02
1.602, TAKEOFF, -0.0242, 3.0242, 0.1067, 0.760302, 0.120970, 0.000000, -0.010667, 0.150000, -0.00, -0.02, 96.07, 0.01
1.803, TAKEOFF, -0.0127, 3.0127, 0.1783, 0.752674, 0.120509, 0.000000, -0.017835, 0.150000, 0.00, -0.01, 96.07, 0.05
2.137, TAKEOFF, 0.0026, 2.9974, 0.2424, 0.745652, 0.119896, 0.000000, -0.024243, 0.150000, 0.00, -0.00, 96.07, 0.02
2.406, TAKEOFF, 0.0230, 2.9770, 0.3071, 0.738374, 0.119082, 0.000000, -0.030707, 0.150000, 0.01, 0.00, 96.07, 0.02
2.597, TAKEOFF, 0.0517, 2.9483, 0.3805, 0.729884, 0.117933, 0.000000, -0.038050, 0.150000, 0.01, 0.00, 96.06, -0.04
2.775, TAKEOFF, 0.5485, 2.4515, 1.0323, 0.644827, 0.098061, 0.000000, -0.103235, 0.150000, 0.02, 0.03, 96.05, 0.01
3.084, TAKEOFF, 0.6228, 2.3772, 1.0965, 0.635434, 0.095089, 0.000000, -0.109655, 0.150000, 0.02, 0.02, 96.05, -0.02
3.386, TAKEOFF, 1.3398, 1.6602, 1.5642, 0.559994, 0.066410, 0.000000, -0.156416, 0.150000, 0.05, 0.02, 96.06, -0.03
3.686, TAKEOFF, 1.4450, 1.5550, 1.6116, 0.551038, 0.062200, 0.000000, -0.161162, 0.150000, 0.04, 0.02, 96.06, -0.01
3.985, TAKEOFF, 2.2746, 0.7254, 1.8867, 0.490349, 0.029015, 0.000000, -0.188666, 0.150000, -0.02, 0.03, 95.97, 0.01
4.316, TAKEOFF, 2.4129, 0.5871, 1.9160, 0.481879, 0.023484, 0.000000, -0.191604, 0.150000, -0.02, 0.03, 95.97, -0.01
4.595, TAKEOFF, 3.1302, -0.1302, 2.0288, 0.441912, -0.005206, 0.000000, -0.202881, 0.113617, -0.01, 0.03, 95.97, 0.03
4.871, TAKEOFF, 3.2764, -0.2764, 2.0356, 0.435387, -0.011055, 0.000000, -0.203558, 0.037412, -0.00, 0.03, 95.97, 0.01
5.158, TAKEOFF, 4.0651, -1.0651, 1.5082, 0.456576, -0.042604, -0.000000, -0.150819, -0.150000, -0.04, 0.03, 95.98, 0.02
5.441, TAKEOFF, 4.1523, -1.1523, 1.3851, 0.465402, -0.046092, -0.000000, -0.138506, -0.150000, -0.05, 0.02, 95.98, 0.01
5.738, TAKEOFF, 4.4715, -1.4715, -0.0851, 0.599646, -0.058861, -0.000000, 0.008507, -0.150000, -0.10, -0.00, 95.97, 0.02
6.033, TAKEOFF, 4.4450, -1.4450, -0.3118, 0.623383, -0.057801, -0.000000, 0.031184, -0.150000, -0.09, -0.00, 95.97, -0.01
6.322, TAKEOFF, 2.5330, 0.4670, -3.9322, 0.900000, 0.018681, -0.000000, 0.393216, -0.014946, -0.02, 0.01, 95.95, -0.05
6.615, TAKEOFF, 2.2136, 0.7864, -4.3078, 0.900000, 0.031457, 0.000000, 0.430778, 0.150000, -0.02, 0.01, 95.95, 0.08
