# PX4 Flight Data Log
# Test started: 2025-12-23 17:39:00
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.1415, 3.1415, -0.0582, 0.647153, 0.094244, 0.000000, 0.002910, 0.000681, -0.01, 0.00, 95.75, -0.02
0.021, TAKEOFF, -0.1404, 3.1404, -0.0581, 0.647114, 0.094211, 0.000000, 0.002903, 0.068407, -0.00, 0.00, 95.75, -0.02
0.042, TAKEOFF, -0.1394, 3.1394, -0.0579, 0.647079, 0.094183, 0.000000, 0.002896, 0.133996, 0.00, 0.00, 95.75, -0.03
0.063, TAKEOFF, -0.1385, 3.1385, -0.0579, 0.647048, 0.094155, 0.000000, 0.002893, 0.150000, 0.01, 0.01, 95.75, -0.00
0.084, TAKEOFF, -0.1377, 3.1377, -0.0578, 0.647020, 0.094130, 0.000000, 0.002890, 0.150000, 0.01, 0.01, 95.75, 0.00
0.105, TAKEOFF, -0.1368, 3.1368, -0.0574, 0.646973, 0.094105, 0.000000, 0.002868, 0.150000, 0.01, 0.01, 95.75, -0.02
0.449, TAKEOFF, -0.1361, 3.1361, -0.0571, 0.646936, 0.094082, 0.000000, 0.002855, 0.150000, 0.01, 0.01, 95.75, -0.06
0.761, TAKEOFF, -0.1354, 3.1354, -0.0570, 0.646913, 0.094061, 0.000000, 0.002852, 0.150000, 0.01, 0.01, 95.75, -0.01
1.073, TAKEOFF, -0.1174, 3.1174, -0.0547, 0.646257, 0.093522, 0.000000, 0.002735, 0.150000, 0.00, -0.00, 95.75, -0.02
1.355, TAKEOFF, -0.1172, 3.1172, -0.0548, 0.646259, 0.093517, 0.000000, 0.002742, 0.150000, 0.00, -0.00, 95.75, -0.03
1.652, TAKEOFF, -0.1172, 3.1172, -0.0550, 0.646263, 0.093516, 0.000000, 0.002748, 0.150000, 0.01, -0.00, 95.75, -0.04
1.941, TAKEOFF, -0.1172, 3.1172, -0.0553, 0.646280, 0.093516, 0.000000, 0.002764, 0.150000, 0.01, -0.00, 95.75, -0.00
2.271, TAKEOFF, -0.1175, 3.1175, -0.0556, 0.646304, 0.093524, 0.000000, 0.002780, 0.150000, 0.02, 0.00, 95.75, 0.03
2.581, TAKEOFF, -0.1188, 3.1188, -0.0566, 0.646392, 0.093564, 0.000000, 0.002828, 0.150000, 0.02, 0.00, 95.75, -0.00
2.778, TAKEOFF, -0.1194, 3.1194, -0.0568, 0.646419, 0.093581, 0.000000, 0.002838, 0.150000, 0.02, 0.00, 95.75, -0.07
3.070, TAKEOFF, -0.1245, 3.1245, -0.0589, 0.646682, 0.093734, 0.000000, 0.002947, 0.150000, 0.01, -0.00, 95.75, -0.01
3.367, TAKEOFF, -0.1252, 3.1252, -0.0593, 0.646719, 0.093755, 0.000000, 0.002963, 0.150000, 0.01, -0.00, 95.75, 0.03
3.651, TAKEOFF, -0.1327, 3.1327, -0.0627, 0.647115, 0.093982, 0.000000, 0.003133, 0.150000, 0.02, -0.00, 95.75, -0.01
3.935, TAKEOFF, -0.1336, 3.1336, -0.0629, 0.647150, 0.094007, 0.000000, 0.003144, 0.150000, 0.02, -0.00, 95.75, 0.01
4.222, TAKEOFF, -0.1439, 3.1439, -0.0659, 0.647612, 0.094317, 0.000000, 0.003295, 0.150000, 0.01, -0.01, 95.75, -0.05
4.491, TAKEOFF, -0.1449, 3.1449, -0.0660, 0.647648, 0.094348, 0.000000, 0.003300, 0.150000, 0.01, -0.01, 95.75, -0.06
4.762, TAKEOFF, -0.1479, 3.1479, -0.0636, 0.647618, 0.094438, 0.000000, 0.003181, 0.150000, 0.00, -0.01, 95.75, -0.00
4.947, TAKEOFF, -0.1479, 3.1479, -0.0636, 0.647617, 0.094437, 0.000000, 0.003179, 0.150000, 0.00, -0.01, 95.75, 0.03
5.123, TAKEOFF, -0.1464, 3.1464, -0.0624, 0.647515, 0.094393, 0.000000, 0.003122, 0.150000, 0.00, -0.00, 95.75, 0.05
5.401, TAKEOFF, -0.1459, 3.1459, -0.0624, 0.647495, 0.094377, 0.000000, 0.003118, 0.150000, 0.00, -0.00, 95.75, 0.02
5.692, TAKEOFF, -0.1428, 3.1428, -0.0617, 0.647369, 0.094283, 0.000000, 0.003086, 0.150000, 0.00, 0.01, 95.75, -0.03
5.989, TAKEOFF, -0.1427, 3.1427, -0.0615, 0.647357, 0.094280, 0.000000, 0.003077, 0.150000, -0.00, 0.01, 95.75, 0.04
6.272, TAKEOFF, -0.1471, 3.1471, -0.0629, 0.647557, 0.094414, 0.000000, 0.003143, 0.150000, -0.01, -0.01, 95.76, -0.00
6.570, TAKEOFF, -0.1480, 3.1480, -0.0632, 0.647598, 0.094440, 0.000000, 0.003158, 0.150000, -0.00, -0.02, 95.76, -0.03
6.868, TAKEOFF, -0.1498, 3.1498, -0.0632, 0.647651, 0.094493, 0.000000, 0.003158, 0.150000, -0.00, -0.02, 95.76, -0.00
7.186, TAKEOFF, -0.1493, 3.1493, -0.0630, 0.647627, 0.094479, 0.000000, 0.003148, 0.150000, -0.01, -0.00, 95.75, -0.02
7.486, TAKEOFF, -0.1449, 3.1449, -0.0607, 0.647382, 0.094348, 0.000000, 0.003034, 0.150000, -0.01, -0.00, 95.75, -0.04
7.789, TAKEOFF, -0.1437, 3.1437, -0.0602, 0.647321, 0.094312, 0.000000, 0.003010, 0.150000, -0.00, 0.01, 95.73, 0.03
8.092, TAKEOFF, -0.1348, 3.1348, -0.0574, 0.646915, 0.094044, 0.000000, 0.002871, 0.150000, -0.00, 0.01, 95.73, -0.03
8.419, TAKEOFF, -0.1343, 3.1343, -0.0573, 0.646892, 0.094028, 0.000000, 0.002864, 0.150000, 0.01, -0.00, 95.74, -0.08
8.690, TAKEOFF, -0.1295, 3.1295, -0.0562, 0.646693, 0.093885, 0.000000, 0.002808, 0.150000, 0.01, -0.00, 95.74, -0.01
8.959, TAKEOFF, -0.1288, 3.1288, -0.0558, 0.646651, 0.093863, 0.000000, 0.002788, 0.150000, 0.01, 0.00, 95.74, -0.05
9.228, TAKEOFF, -0.1193, 3.1193, -0.0528, 0.646218, 0.093579, 0.000000, 0.002639, 0.150000, -0.01, 0.01, 95.73, 0.06
9.501, TAKEOFF, -0.1179, 3.1179, -0.0523, 0.646154, 0.093538, 0.000000, 0.002616, 0.150000, -0.01, 0.01, 95.73, -0.08
9.712, TAKEOFF, -0.1124, 3.1124, -0.0508, 0.645910, 0.093371, 0.000000, 0.002539, 0.150000, -0.02, 0.02, 95.73, 0.08
9.989, TAKEOFF, -0.1124, 3.1124, -0.0508, 0.645913, 0.093372, 0.000000, 0.002542, 0.150000, -0.02, 0.02, 95.73, 0.05
10.270, TAKEOFF, -0.1171, 3.1171, -0.0526, 0.646146, 0.093514, 0.000000, 0.002632, 0.150000, -0.02, 0.01, 95.74, -0.05
10.549, TAKEOFF, -0.1177, 3.1177, -0.0529, 0.646178, 0.093531, 0.000000, 0.002647, 0.150000, -0.03, 0.01, 95.74, -0.05
10.842, TAKEOFF, -0.1210, 3.1210, -0.0537, 0.646317, 0.093629, 0.000000, 0.002687, 0.150000, -0.03, 0.01, 95.74, -0.02
11.120, TAKEOFF, -0.1210, 3.1210, -0.0539, 0.646324, 0.093631, 0.000000, 0.002694, 0.150000, -0.02, 0.01, 95.74, -0.00
11.405, TAKEOFF, -0.1209, 3.1209, -0.0539, 0.646323, 0.093627, 0.000000, 0.002696, 0.150000, -0.01, 0.01, 95.73, 0.00
11.687, TAKEOFF, -0.1201, 3.1201, -0.0536, 0.646284, 0.093603, 0.000000, 0.002681, 0.150000, -0.01, 0.01, 95.73, -0.03
11.971, TAKEOFF, -0.1198, 3.1198, -0.0535, 0.646269, 0.093593, 0.000000, 0.002676, 0.150000, -0.01, 0.02, 95.73, 0.01
12.276, TAKEOFF, -0.1225, 3.1225, -0.0554, 0.646442, 0.093674, 0.000000, 0.002768, 0.150000, -0.01, 0.02, 95.73, -0.05
12.559, TAKEOFF, -0.1235, 3.1235, -0.0558, 0.646496, 0.093705, 0.000000, 0.002791, 0.150000, -0.01, 0.02, 95.73, 0.02
12.845, TAKEOFF, -0.1291, 3.1291, -0.0575, 0.646747, 0.093874, 0.000000, 0.002873, 0.150000, -0.00, 0.03, 95.72, -0.01
13.141, TAKEOFF, -0.1270, 3.1270, -0.0559, 0.646605, 0.093810, 0.000000, 0.002795, 0.150000, -0.01, 0.03, 95.72, -0.00
13.451, TAKEOFF, -0.1265, 3.1265, -0.0556, 0.646574, 0.093795, 0.000000, 0.002780, 0.150000, -0.00, 0.03, 95.72, 0.03
13.750, TAKEOFF, -0.1236, 3.1236, -0.0550, 0.646459, 0.093708, 0.000000, 0.002752, 0.150000, 0.00, 0.04, 95.71, 0.00
14.052, TAKEOFF, -0.1232, 3.1232, -0.0550, 0.646446, 0.093697, 0.000000, 0.002748, 0.150000, 0.00, 0.04, 95.71, 0.03
14.344, TAKEOFF, -0.1228, 3.1228, -0.0545, 0.646410, 0.093683, 0.000000, 0.002726, 0.150000, 0.01, 0.03, 95.70, -0.01
14.659, TAKEOFF, -0.1234, 3.1234, -0.0545, 0.646430, 0.093702, 0.000000, 0.002727, 0.150000, 0.01, 0.03, 95.70, -0.04
14.952, TAKEOFF, -0.1275, 3.1275, -0.0548, 0.646566, 0.093825, 0.000000, 0.002741, 0.150000, 0.02, 0.01, 95.69, -0.02
15.248, TAKEOFF, -0.1281, 3.1281, -0.0550, 0.646593, 0.093843, 0.000000, 0.002750, 0.150000, 0.02, 0.01, 95.69, -0.05
15.558, TAKEOFF, -0.1273, 3.1273, -0.0535, 0.646498, 0.093820, 0.000000, 0.002677, 0.150000, 0.01, 0.01, 95.69, -0.04
15.875, TAKEOFF, -0.1264, 3.1264, -0.0529, 0.646436, 0.093793, 0.000000, 0.002644, 0.150000, 0.01, 0.01, 95.69, 0.04
16.175, TAKEOFF, -0.1156, 3.1156, -0.0503, 0.645985, 0.093469, 0.000000, 0.002515, 0.150000, 0.02, -0.01, 95.68, -0.02
16.381, TAKEOFF, -0.1149, 3.1149, -0.0500, 0.645948, 0.093447, 0.000000, 0.002501, 0.150000, 0.02, -0.01, 95.68, -0.01
16.670, TAKEOFF, -0.1159, 3.1159, -0.0508, 0.646017, 0.093477, 0.000000, 0.002540, 0.150000, 0.00, -0.01, 95.67, -0.03
16.985, TAKEOFF, -0.1162, 3.1162, -0.0508, 0.646026, 0.093485, 0.000000, 0.002542, 0.150000, 0.00, -0.01, 95.67, 0.04
17.285, TAKEOFF, -0.1125, 3.1125, -0.0495, 0.645852, 0.093375, 0.000000, 0.002477, 0.150000, -0.01, -0.01, 95.66, -0.01
17.589, TAKEOFF, -0.1119, 3.1119, -0.0495, 0.645829, 0.093356, 0.000000, 0.002474, 0.150000, -0.01, -0.01, 95.67, 0.04
17.890, TAKEOFF, -0.1065, 3.1065, -0.0484, 0.645618, 0.093195, 0.000000, 0.002422, 0.150000, -0.00, -0.02, 95.67, 0.02
18.219, TAKEOFF, -0.1059, 3.1059, -0.0486, 0.645606, 0.093176, 0.000000, 0.002430, 0.150000, -0.00, -0.01, 95.67, 0.04
18.520, TAKEOFF, -0.1052, 3.1052, -0.0487, 0.645590, 0.093156, 0.000000, 0.002433, 0.150000, 0.00, -0.01, 95.67, -0.02
18.820, TAKEOFF, -0.0995, 3.0995, -0.0468, 0.645324, 0.092984, 0.000000, 0.002341, 0.150000, 0.00, -0.01, 95.67, -0.04
19.121, TAKEOFF, -0.0986, 3.0986, -0.0467, 0.645296, 0.092959, 0.000000, 0.002337, 0.150000, -0.00, -0.01, 95.67, -0.03
19.448, TAKEOFF, -0.0968, 3.0968, -0.0470, 0.645252, 0.092904, 0.000000, 0.002348, 0.150000, 0.00, -0.01, 95.68, 0.00
19.760, TAKEOFF, -0.0966, 3.0966, -0.0470, 0.645246, 0.092897, 0.000000, 0.002349, 0.150000, 0.00, -0.01, 95.68, 0.04
20.074, TAKEOFF, -0.1023, 3.1023, -0.0497, 0.645558, 0.093070, 0.000000, 0.002487, 0.150000, 0.00, 0.00, 95.68, 0.01
20.404, TAKEOFF, -0.1158, 3.1158, -0.0535, 0.646152, 0.093475, 0.000000, 0.002677, 0.150000, 0.02, 0.01, 95.69, 0.02
20.715, TAKEOFF, -0.1171, 3.1171, -0.0539, 0.646205, 0.093512, 0.000000, 0.002694, 0.150000, 0.02, 0.01, 95.69, -0.01
20.989, TAKEOFF, -0.1228, 3.1228, -0.0544, 0.646403, 0.093685, 0.000000, 0.002718, 0.150000, 0.01, 0.00, 95.69, 0.00
21.270, TAKEOFF, -0.1231, 3.1231, -0.0543, 0.646408, 0.093693, 0.000000, 0.002715, 0.150000, 0.01, 0.00, 95.69, -0.00
21.568, TAKEOFF, -0.1260, 3.1260, -0.0545, 0.646506, 0.093779, 0.000000, 0.002727, 0.150000, 0.01, 0.00, 95.69, 0.02
21.841, TAKEOFF, -0.1258, 3.1258, -0.0544, 0.646494, 0.093774, 0.000000, 0.002720, 0.150000, 0.01, 0.00, 95.69, -0.07
22.124, TAKEOFF, -0.1221, 3.1221, -0.0527, 0.646298, 0.093662, 0.000000, 0.002635, 0.150000, -0.00, 0.01, 95.69, 0.01
22.404, TAKEOFF, -0.1215, 3.1215, -0.0523, 0.646260, 0.093644, 0.000000, 0.002616, 0.150000, -0.00, 0.01, 95.69, 0.01
22.678, TAKEOFF, -0.1124, 3.1124, -0.0493, 0.645835, 0.093372, 0.000000, 0.002463, 0.150000, -0.01, 0.02, 95.69, -0.04
22.969, TAKEOFF, -0.1107, 3.1107, -0.0485, 0.645746, 0.093321, 0.000000, 0.002424, 0.150000, -0.01, 0.03, 95.69, -0.02
23.240, TAKEOFF, -0.1094, 3.1094, -0.0479, 0.645676, 0.093281, 0.000000, 0.002396, 0.150000, -0.01, 0.03, 95.69, 0.05
23.519, TAKEOFF, -0.1077, 3.1077, -0.0481, 0.645636, 0.093231, 0.000000, 0.002405, 0.150000, -0.02, 0.02, 95.69, 0.00
23.789, TAKEOFF, -0.1082, 3.1082, -0.0483, 0.645658, 0.093246, 0.000000, 0.002413, 0.150000, -0.02, 0.02, 95.70, -0.01
24.063, TAKEOFF, -0.1069, 3.1069, -0.0470, 0.645557, 0.093207, 0.000000, 0.002350, 0.150000, -0.02, 0.02, 95.70, -0.04
24.369, TAKEOFF, -0.1063, 3.1063, -0.0467, 0.645526, 0.093190, 0.000000, 0.002336, 0.150000, -0.02, 0.02, 95.70, -0.07
24.652, TAKEOFF, -0.0999, 3.0999, -0.0455, 0.645273, 0.092997, 0.000000, 0.002276, 0.150000, -0.03, 0.03, 95.70, 0.05
