# PX4 Flight Data Log
# Test started: 2025-12-23 16:59:38
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, 0.0041, 2.9959, 0.0061, 0.758941, 0.119837, 0.000020, -0.000917, 0.002524, 0.00, 0.01, 95.46, -0.01
0.021, TAKEOFF, 0.0027, 2.9973, 0.0056, 0.759565, 0.119891, 0.000513, -0.000839, 0.064103, 0.00, 0.01, 95.46, -0.00
0.042, TAKEOFF, 0.0017, 2.9983, 0.0050, 0.760186, 0.119934, 0.001006, -0.000754, 0.125742, 0.00, 0.01, 95.46, 0.04
0.062, TAKEOFF, 0.0006, 2.9994, 0.0046, 0.760486, 0.119975, 0.001200, -0.000689, 0.150000, -0.00, 0.01, 95.46, 0.00
0.083, TAKEOFF, -0.0004, 3.0004, 0.0041, 0.760602, 0.120015, 0.001200, -0.000613, 0.150000, -0.00, 0.01, 95.47, -0.02
0.104, TAKEOFF, -0.0013, 3.0013, 0.0035, 0.760721, 0.120050, 0.001200, -0.000530, 0.150000, -0.00, 0.01, 95.47, -0.01
0.453, TAKEOFF, -0.0020, 3.0020, 0.0028, 0.760855, 0.120081, 0.001200, -0.000426, 0.150000, -0.00, 0.01, 95.47, 0.01
0.780, TAKEOFF, -0.0025, 3.0025, 0.0026, 0.760913, 0.120101, 0.001200, -0.000389, 0.150000, -0.00, 0.01, 95.47, -0.05
1.106, TAKEOFF, 0.0130, 2.9870, 0.0096, 0.759238, 0.119479, 0.001200, -0.001441, 0.150000, -0.01, -0.00, 95.49, 0.02
1.298, TAKEOFF, 0.0149, 2.9851, 0.0569, 0.752066, 0.119406, 0.001200, -0.008540, 0.150000, -0.01, -0.00, 95.49, 0.03
1.594, TAKEOFF, 0.0196, 2.9804, 0.1025, 0.745040, 0.119218, 0.001200, -0.015378, 0.150000, -0.00, -0.00, 95.49, -0.01
1.792, TAKEOFF, 0.0274, 2.9726, 0.1481, 0.737884, 0.118903, 0.001200, -0.022220, 0.150000, -0.01, -0.00, 95.49, -0.01
2.114, TAKEOFF, 0.0735, 2.9265, 0.2927, 0.714355, 0.117059, 0.001200, -0.043904, 0.150000, -0.00, 0.00, 95.48, -0.01
2.388, TAKEOFF, 0.0978, 2.9022, 0.3453, 0.705494, 0.116088, 0.001200, -0.051794, 0.150000, 0.00, 0.00, 95.49, 0.02
2.654, TAKEOFF, 0.1230, 2.8770, 0.3925, 0.697412, 0.115081, 0.001200, -0.058868, 0.150000, 0.00, 0.00, 95.49, 0.03
2.921, TAKEOFF, 0.4864, 2.5136, 0.8108, 0.620122, 0.100546, 0.001200, -0.121624, 0.150000, 0.00, 0.00, 95.49, -0.01
3.207, TAKEOFF, 0.5417, 2.4583, 0.8552, 0.591255, 0.098331, 0.001200, -0.128276, 0.150000, -0.01, 0.01, 95.48, -0.04
3.476, TAKEOFF, 0.9740, 2.0260, 1.0945, 0.538070, 0.081038, 0.001200, -0.164168, 0.150000, -0.01, 0.01, 95.48, -0.03
3.658, TAKEOFF, 1.5229, 1.4771, 1.2174, 0.497678, 0.059083, 0.001200, -0.182605, 0.150000, 0.00, 0.01, 95.49, 0.00
3.945, TAKEOFF, 1.5997, 1.4003, 1.2074, 0.496101, 0.056012, 0.001200, -0.181111, 0.150000, 0.00, 0.01, 95.49, -0.01
4.237, TAKEOFF, 2.1125, 0.8875, 1.0203, 0.503658, 0.035501, 0.001200, -0.153043, 0.150000, -0.00, 0.01, 96.81, 0.01
4.510, TAKEOFF, 2.1822, 0.8178, 0.9772, 0.507330, 0.032711, 0.001200, -0.146581, 0.150000, -0.00, 0.01, 96.80, -0.00
4.767, TAKEOFF, 2.4957, 0.5043, 0.2156, 0.609025, 0.020172, 0.001200, -0.032347, 0.150000, 0.00, -0.01, 96.80, -0.03
