# PX4 Flight Data Log
# Test started: 2025-12-23 17:35:47
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0675, 3.0675, -0.0563, 0.778333, 0.122699, 0.000000, 0.005635, 0.000566, 0.02, 0.03, 95.95, 0.03
0.021, TAKEOFF, -0.0672, 3.0672, -0.0560, 0.778285, 0.122686, 0.000000, 0.005599, 0.065340, 0.02, 0.03, 95.95, 0.03
0.042, TAKEOFF, -0.0669, 3.0669, -0.0556, 0.778237, 0.122677, 0.000000, 0.005560, 0.128351, 0.02, 0.03, 95.95, -0.03
0.062, TAKEOFF, -0.0669, 3.0669, -0.0553, 0.778199, 0.122674, 0.000000, 0.005525, 0.150000, 0.01, 0.02, 95.95, 0.01
0.083, TAKEOFF, -0.0667, 3.0667, -0.0549, 0.778156, 0.122668, 0.000000, 0.005489, 0.150000, 0.01, 0.02, 95.95, -0.01
0.103, TAKEOFF, -0.0667, 3.0667, -0.0546, 0.778125, 0.122667, 0.000000, 0.005458, 0.150000, 0.01, 0.01, 95.95, 0.02
0.291, TAKEOFF, -0.0668, 3.0668, -0.0543, 0.778106, 0.122671, 0.000000, 0.005435, 0.150000, 0.02, 0.00, 95.95, -0.05
0.649, TAKEOFF, -0.0668, 3.0668, -0.0542, 0.778093, 0.122674, 0.000000, 0.005419, 0.150000, 0.02, -0.01, 95.95, -0.03
0.994, TAKEOFF, -0.0686, 3.0686, -0.0449, 0.777231, 0.122742, 0.000000, 0.004489, 0.150000, 0.02, -0.01, 95.95, -0.02
1.287, TAKEOFF, -0.0670, 3.0670, 0.0100, 0.771683, 0.122680, 0.000000, -0.000997, 0.150000, 0.02, -0.01, 95.96, -0.07
1.475, TAKEOFF, -0.0609, 3.0609, 0.0813, 0.764302, 0.122434, 0.000000, -0.008132, 0.150000, 0.02, -0.00, 95.95, -0.04
1.794, TAKEOFF, -0.0475, 3.0475, 0.1620, 0.755703, 0.121898, 0.000000, -0.016195, 0.150000, 0.02, -0.00, 95.95, 0.01
2.111, TAKEOFF, -0.0298, 3.0298, 0.2341, 0.747780, 0.121192, 0.000000, -0.023412, 0.150000, 0.01, 0.00, 95.95, -0.01
2.368, TAKEOFF, -0.0069, 3.0069, 0.3067, 0.739603, 0.120276, 0.000000, -0.030673, 0.150000, 0.01, 0.01, 95.94, 0.02
