# PX4 Flight Data Log
# Test started: 2025-12-23 16:48:37
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0552, 3.0552, -0.0089, 0.680000, 0.122207, 0.000014, 0.001335, 0.001785, 0.01, 0.02, 96.57, -0.00
0.021, TAKEOFF, -0.0558, 3.0558, -0.0091, 0.680000, 0.122233, 0.000522, 0.001371, 0.065226, 0.01, 0.02, 96.57, -0.06
0.042, TAKEOFF, -0.0566, 3.0566, -0.0092, 0.680000, 0.122264, 0.001031, 0.001375, 0.128881, 0.01, 0.02, 96.57, 0.04
0.063, TAKEOFF, -0.0573, 3.0573, -0.0093, 0.680000, 0.122292, 0.001200, 0.001396, 0.150000, 0.01, 0.01, 96.57, 0.02
0.083, TAKEOFF, -0.0577, 3.0577, -0.0092, 0.680000, 0.122310, 0.001200, 0.001381, 0.150000, 0.01, 0.01, 96.57, 0.01
0.104, TAKEOFF, -0.0581, 3.0581, -0.0091, 0.680000, 0.122324, 0.001200, 0.001363, 0.150000, 0.01, 0.01, 96.57, -0.00
0.299, TAKEOFF, -0.0585, 3.0585, -0.0089, 0.680000, 0.122341, 0.001200, 0.001342, 0.150000, 0.01, 0.01, 96.57, 0.00
0.652, TAKEOFF, -0.0587, 3.0587, -0.0089, 0.680000, 0.122349, 0.001200, 0.001328, 0.150000, 0.01, 0.01, 96.57, -0.00
0.995, TAKEOFF, -0.0134, 3.0134, 0.0022, 0.680000, 0.120536, 0.001200, -0.000332, 0.150000, 0.02, 0.02, 96.56, 0.01
1.288, TAKEOFF, -0.0140, 3.0140, 0.0016, 0.680000, 0.120558, 0.001200, -0.000243, 0.150000, 0.02, 0.02, 96.56, 0.01
1.581, TAKEOFF, -0.0143, 3.0143, 0.0010, 0.680000, 0.120573, 0.001200, -0.000152, 0.150000, 0.02, 0.02, 96.56, -0.05
1.893, TAKEOFF, -0.0146, 3.0146, 0.0005, 0.680000, 0.120585, 0.001200, -0.000072, 0.150000, 0.01, 0.02, 96.56, -0.01
2.221, TAKEOFF, -0.0148, 3.0148, 0.0002, 0.680000, 0.120592, 0.001200, -0.000028, 0.150000, 0.01, 0.02, 96.56, 0.07
2.399, TAKEOFF, -0.0147, 3.0147, 0.0000, 0.680000, 0.120588, 0.001200, -0.000007, 0.150000, 0.01, 0.02, 96.56, -0.08
2.689, TAKEOFF, -0.0150, 3.0150, -0.0017, 0.680000, 0.120599, 0.001200, 0.000252, 0.150000, 0.02, 0.02, 96.56, 0.03
2.991, TAKEOFF, -0.0152, 3.0152, -0.0019, 0.680000, 0.120608, 0.001200, 0.000278, 0.150000, 0.02, 0.02, 96.56, 0.02
3.303, TAKEOFF, -0.0223, 3.0223, -0.0048, 0.680000, 0.120891, 0.001200, 0.000714, 0.150000, 0.01, 0.03, 96.56, 0.01
3.582, TAKEOFF, -0.0226, 3.0226, -0.0048, 0.680000, 0.120903, 0.001200, 0.000715, 0.150000, 0.01, 0.03, 96.57, 0.01
3.862, TAKEOFF, -0.0227, 3.0227, -0.0046, 0.680000, 0.120906, 0.001200, 0.000688, 0.150000, 0.01, 0.04, 96.56, -0.05
4.152, TAKEOFF, -0.0233, 3.0233, -0.0049, 0.680000, 0.120933, 0.001200, 0.000729, 0.150000, 0.01, 0.04, 96.56, 0.03
4.323, TAKEOFF, -0.0248, 3.0248, -0.0055, 0.680000, 0.120992, 0.001200, 0.000829, 0.150000, 0.01, 0.04, 96.56, 0.02
4.518, TAKEOFF, -0.0325, 3.0325, -0.0082, 0.680000, 0.121300, 0.001200, 0.001229, 0.150000, 0.01, 0.04, 96.56, 0.01
4.775, TAKEOFF, -0.0335, 3.0335, -0.0086, 0.680000, 0.121341, 0.001200, 0.001283, 0.150000, 0.01, 0.04, 96.56, -0.06
5.036, TAKEOFF, -0.0360, 3.0360, -0.0086, 0.680000, 0.121440, 0.001200, 0.001285, 0.150000, 0.01, 0.03, 96.56, -0.03
5.305, TAKEOFF, -0.0358, 3.0358, -0.0083, 0.680000, 0.121430, 0.001200, 0.001242, 0.150000, 0.01, 0.03, 96.56, 0.01
5.575, TAKEOFF, -0.0299, 3.0299, -0.0051, 0.680000, 0.121197, 0.001200, 0.000772, 0.150000, 0.00, 0.01, 96.56, -0.01
5.857, TAKEOFF, -0.0292, 3.0292, -0.0048, 0.680000, 0.121166, 0.001200, 0.000718, 0.150000, 0.00, 0.01, 96.56, -0.05
6.136, TAKEOFF, -0.0261, 3.0261, -0.0030, 0.680000, 0.121045, 0.001200, 0.000451, 0.150000, 0.00, 0.00, 96.56, 0.01
6.420, TAKEOFF, -0.0250, 3.0250, -0.0026, 0.680000, 0.121001, 0.001200, 0.000389, 0.150000, 0.00, 0.00, 96.56, 0.02
6.699, TAKEOFF, -0.0187, 3.0187, -0.0002, 0.680000, 0.120749, 0.001200, 0.000027, 0.150000, 0.01, 0.01, 96.56, -0.04
7.003, TAKEOFF, -0.0178, 3.0178, -0.0000, 0.680000, 0.120710, 0.001200, 0.000003, 0.150000, 0.01, 0.01, 96.56, 0.02
7.285, TAKEOFF, -0.0113, 3.0113, 0.0011, 0.680000, 0.120453, 0.001200, -0.000162, 0.150000, 0.00, 0.01, 96.56, 0.01
7.572, TAKEOFF, -0.0108, 3.0108, 0.0011, 0.680000, 0.120432, 0.001200, -0.000166, 0.150000, 0.01, 0.01, 96.56, 0.04
7.852, TAKEOFF, -0.0111, 3.0111, 0.0009, 0.680000, 0.120442, 0.001200, -0.000132, 0.150000, 0.00, 0.01, 96.57, -0.03
8.166, TAKEOFF, -0.0115, 3.0115, 0.0004, 0.680000, 0.120462, 0.001200, -0.000064, 0.150000, 0.00, 0.01, 96.57, -0.07
8.456, TAKEOFF, -0.0120, 3.0120, 0.0001, 0.680000, 0.120480, 0.001200, -0.000022, 0.150000, 0.00, 0.03, 96.56, -0.04
8.724, TAKEOFF, -0.0166, 3.0166, -0.0023, 0.680000, 0.120663, 0.001200, 0.000343, 0.150000, -0.00, 0.03, 96.56, 0.02
8.986, TAKEOFF, -0.0172, 3.0172, -0.0026, 0.680000, 0.120688, 0.001200, 0.000389, 0.150000, -0.00, 0.03, 96.56, -0.01
9.247, TAKEOFF, -0.0234, 3.0234, -0.0047, 0.680000, 0.120937, 0.001200, 0.000706, 0.150000, -0.02, 0.03, 96.56, -0.03
9.522, TAKEOFF, -0.0243, 3.0243, -0.0049, 0.680000, 0.120973, 0.001200, 0.000735, 0.150000, -0.02, 0.02, 96.56, -0.00
9.787, TAKEOFF, -0.0284, 3.0284, -0.0063, 0.680000, 0.121138, 0.001200, 0.000950, 0.150000, -0.01, 0.03, 96.56, 0.01
10.056, TAKEOFF, -0.0335, 3.0335, -0.0081, 0.680000, 0.121340, 0.001200, 0.001212, 0.150000, 0.01, 0.03, 96.55, 0.03
10.320, TAKEOFF, -0.0339, 3.0339, -0.0083, 0.680000, 0.121356, 0.001200, 0.001249, 0.150000, 0.00, 0.03, 96.55, 0.01
10.587, TAKEOFF, -0.0353, 3.0353, -0.0080, 0.680000, 0.121412, 0.001200, 0.001203, 0.150000, 0.00, 0.04, 96.55, 0.02
10.871, TAKEOFF, -0.0348, 3.0348, -0.0079, 0.680000, 0.121392, 0.001200, 0.001181, 0.150000, 0.00, 0.04, 96.55, -0.04
11.137, TAKEOFF, -0.0319, 3.0319, -0.0065, 0.680000, 0.121276, 0.001200, 0.000979, 0.150000, 0.01, 0.04, 96.54, 0.00
11.403, TAKEOFF, -0.0317, 3.0317, -0.0065, 0.680000, 0.121268, 0.001200, 0.000970, 0.150000, 0.01, 0.03, 96.55, 0.06
11.670, TAKEOFF, -0.0350, 3.0350, -0.0081, 0.680000, 0.121398, 0.001200, 0.001210, 0.150000, 0.01, 0.02, 96.55, 0.01
11.945, TAKEOFF, -0.0358, 3.0358, -0.0083, 0.680000, 0.121434, 0.001200, 0.001240, 0.150000, 0.01, 0.01, 96.55, -0.06
12.238, TAKEOFF, -0.0373, 3.0373, -0.0085, 0.680000, 0.121490, 0.001200, 0.001271, 0.150000, -0.01, 0.01, 96.56, -0.05
12.521, TAKEOFF, -0.0369, 3.0369, -0.0085, 0.680000, 0.121477, 0.001200, 0.001271, 0.150000, -0.01, 0.01, 96.56, -0.03
12.795, TAKEOFF, -0.0305, 3.0305, -0.0067, 0.680000, 0.121221, 0.001200, 0.001001, 0.150000, -0.01, -0.00, 96.56, -0.02
13.070, TAKEOFF, -0.0298, 3.0298, -0.0066, 0.680000, 0.121192, 0.001200, 0.000987, 0.150000, -0.01, -0.00, 96.56, -0.01
13.359, TAKEOFF, -0.0284, 3.0284, -0.0064, 0.680000, 0.121137, 0.001200, 0.000953, 0.150000, -0.01, 0.00, 96.57, 0.05
13.644, TAKEOFF, -0.0281, 3.0281, -0.0064, 0.680000, 0.121125, 0.001200, 0.000958, 0.150000, -0.01, 0.01, 96.56, 0.00
13.927, TAKEOFF, -0.0271, 3.0271, -0.0062, 0.680000, 0.121083, 0.001200, 0.000937, 0.150000, -0.00, 0.01, 96.56, -0.01
14.205, TAKEOFF, -0.0270, 3.0270, -0.0061, 0.680000, 0.121081, 0.001200, 0.000916, 0.150000, -0.00, 0.02, 96.56, 0.02
14.487, TAKEOFF, -0.0272, 3.0272, -0.0057, 0.680000, 0.121088, 0.001200, 0.000849, 0.150000, -0.00, 0.02, 96.56, -0.01
14.784, TAKEOFF, -0.0276, 3.0276, -0.0058, 0.680000, 0.121103, 0.001200, 0.000873, 0.150000, 0.00, 0.02, 96.56, 0.02
15.060, TAKEOFF, -0.0276, 3.0276, -0.0057, 0.680000, 0.121104, 0.001200, 0.000856, 0.150000, 0.01, 0.02, 96.56, -0.01
15.337, TAKEOFF, -0.0272, 3.0272, -0.0056, 0.680000, 0.121089, 0.001200, 0.000844, 0.150000, 0.01, 0.02, 96.56, -0.04
15.624, TAKEOFF, -0.0275, 3.0275, -0.0068, 0.680000, 0.121099, 0.001200, 0.001022, 0.150000, 0.01, 0.01, 96.56, -0.05
15.929, TAKEOFF, -0.0280, 3.0280, -0.0069, 0.680000, 0.121121, 0.001200, 0.001036, 0.150000, 0.01, 0.01, 96.56, 0.02
16.212, TAKEOFF, -0.0385, 3.0385, -0.0099, 0.680000, 0.121538, 0.001200, 0.001479, 0.150000, -0.01, 0.01, 96.55, -0.03
16.501, TAKEOFF, -0.0388, 3.0388, -0.0099, 0.680000, 0.121553, 0.001200, 0.001481, 0.150000, -0.01, 0.01, 96.55, 0.03
16.774, TAKEOFF, -0.0396, 3.0396, -0.0094, 0.680000, 0.121585, 0.001200, 0.001406, 0.150000, 0.00, 0.01, 96.55, -0.02
17.070, TAKEOFF, -0.0402, 3.0402, -0.0094, 0.680000, 0.121607, 0.001200, 0.001413, 0.150000, 0.01, 0.01, 96.55, -0.03
17.356, TAKEOFF, -0.0469, 3.0469, -0.0096, 0.680000, 0.121878, 0.001200, 0.001445, 0.150000, 0.01, 0.01, 96.55, 0.06
17.642, TAKEOFF, -0.0503, 3.0503, -0.0095, 0.680000, 0.122012, 0.001200, 0.001429, 0.150000, 0.02, 0.02, 96.55, 0.04
17.925, TAKEOFF, -0.0510, 3.0510, -0.0097, 0.680000, 0.122041, 0.001200, 0.001462, 0.150000, 0.01, 0.02, 96.55, -0.03
