# PX4 Flight Data Log
# Test started: 2025-12-23 17:24:52
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0291, 3.0291, -0.0089, 0.710583, 0.060583, 0.000000, 0.000000, 0.000533, -0.00, 0.01, 96.05, 0.02
0.021, TAKEOFF, -0.0289, 3.0289, -0.0089, 0.710577, 0.060577, 0.000000, 0.000000, 0.064139, -0.00, 0.01, 96.05, -0.01
0.042, TAKEOFF, -0.0287, 3.0287, -0.0090, 0.710574, 0.060574, 0.000000, 0.000000, 0.126732, 0.00, 0.01, 96.05, -0.03
0.062, TAKEOFF, -0.0286, 3.0286, -0.0089, 0.710571, 0.060571, 0.000000, 0.000000, 0.150000, 0.00, 0.00, 96.05, 0.05
0.083, TAKEOFF, -0.0286, 3.0286, -0.0089, 0.710572, 0.060572, 0.000000, 0.000000, 0.150000, -0.00, 0.00, 96.05, 0.01
0.103, TAKEOFF, -0.0285, 3.0285, -0.0090, 0.710570, 0.060570, 0.000000, 0.000000, 0.150000, -0.00, 0.00, 96.05, 0.00
0.297, TAKEOFF, -0.0284, 3.0284, -0.0090, 0.710567, 0.060567, 0.000000, 0.000000, 0.150000, -0.00, 0.00, 96.05, -0.06
0.649, TAKEOFF, -0.0280, 3.0280, -0.0087, 0.710561, 0.060561, 0.000000, 0.000000, 0.150000, -0.00, 0.00, 96.05, 0.01
0.990, TAKEOFF, -0.0268, 3.0268, -0.0086, 0.710537, 0.060537, 0.000000, 0.000000, 0.150000, -0.03, -0.02, 96.07, -0.05
1.173, TAKEOFF, -0.0280, 3.0280, -0.0089, 0.710560, 0.060560, 0.000000, 0.000000, 0.150000, -0.03, -0.02, 96.07, -0.01
1.475, TAKEOFF, -0.0285, 3.0285, -0.0089, 0.710571, 0.060571, 0.000000, 0.000000, 0.150000, -0.03, -0.02, 96.07, 0.02
1.815, TAKEOFF, -0.0289, 3.0289, -0.0091, 0.710578, 0.060578, 0.000000, 0.000000, 0.150000, -0.03, -0.02, 96.07, -0.02
2.135, TAKEOFF, -0.0291, 3.0291, -0.0089, 0.710582, 0.060582, 0.000000, 0.000000, 0.150000, -0.03, -0.02, 96.07, 0.03
