# PX4 Flight Data Log
# Test started: 2025-12-23 17:21:29
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0233, 3.0233, -0.0060, 0.891865, 0.241865, 0.000000, 0.000000, 0.000444, 0.03, 0.03, 95.98, -0.01
0.021, TAKEOFF, -0.0229, 3.0229, -0.0058, 0.891835, 0.241835, 0.000000, 0.000000, 0.063912, 0.03, 0.02, 95.98, 0.02
0.042, TAKEOFF, -0.0223, 3.0223, -0.0056, 0.891787, 0.241787, 0.000000, 0.000000, 0.126102, 0.03, 0.02, 95.98, 0.00
0.062, TAKEOFF, -0.0219, 3.0219, -0.0053, 0.891754, 0.241754, 0.000000, 0.000000, 0.150000, 0.03, 0.01, 95.98, -0.04
0.083, TAKEOFF, -0.0216, 3.0216, -0.0052, 0.891731, 0.241731, 0.000000, 0.000000, 0.150000, 0.03, 0.00, 95.98, 0.02
0.103, TAKEOFF, -0.0216, 3.0216, -0.0052, 0.891729, 0.241729, 0.000000, 0.000000, 0.150000, 0.03, -0.00, 95.98, 0.03
0.295, TAKEOFF, -0.0221, 3.0221, -0.0057, 0.891764, 0.241764, 0.000000, 0.000000, 0.150000, 0.03, -0.00, 95.99, -0.01
0.637, TAKEOFF, -0.0226, 3.0226, -0.0060, 0.891812, 0.241812, 0.000000, 0.000000, 0.150000, 0.03, -0.01, 95.99, 0.04
0.981, TAKEOFF, -0.0365, 3.0365, 0.0937, 0.892923, 0.242923, 0.000000, -0.000000, 0.150000, 0.03, -0.03, 96.03, 0.04
1.273, TAKEOFF, -0.0223, 3.0223, 0.3380, 0.891785, 0.241785, 0.000000, -0.000000, 0.150000, 0.03, -0.03, 96.03, 0.01
1.570, TAKEOFF, 0.0097, 2.9903, 0.5858, 0.889225, 0.239225, 0.000000, -0.000000, 0.150000, 0.03, -0.03, 96.03, 0.01
1.766, TAKEOFF, 0.0687, 2.9313, 0.8667, 0.884500, 0.234500, 0.000000, -0.000000, 0.150000, 0.03, -0.02, 96.03, 0.01
2.081, TAKEOFF, 0.1412, 2.8588, 1.1180, 0.878708, 0.228708, 0.000000, -0.000000, 0.150000, 0.03, -0.02, 96.03, 0.02
2.268, TAKEOFF, 0.2318, 2.7682, 1.3703, 0.871457, 0.221457, 0.000000, -0.000000, 0.150000, 0.03, -0.02, 96.03, -0.01
2.552, TAKEOFF, 0.8166, 2.1834, 2.4504, 0.824670, 0.174670, 0.000000, -0.000000, 0.150000, 0.03, -0.02, 96.03, -0.01
2.824, TAKEOFF, 1.0002, 1.9998, 2.7059, 0.809981, 0.159981, 0.000000, -0.000000, 0.150000, 0.02, -0.01, 96.03, 0.00
3.107, TAKEOFF, 3.3616, -0.3616, 4.9873, 0.621070, -0.028930, 0.000000, -0.000000, 0.047807, -0.01, 0.00, 95.96, 0.05
3.377, TAKEOFF, 3.7082, -0.7082, 5.2434, 0.593346, -0.056654, -0.000000, -0.000000, -0.143668, -0.01, 0.00, 95.96, -0.02
3.657, TAKEOFF, 6.2300, -3.2300, 6.8265, 0.391598, -0.258402, -0.000000, -0.000000, -0.150000, -0.00, -0.01, 95.98, -0.01
3.937, TAKEOFF, 6.7482, -3.7482, 7.1027, 0.350145, -0.299855, -0.000000, -0.000000, -0.150000, 0.00, -0.02, 95.99, -0.00
4.223, TAKEOFF, 10.2467, -7.2467, 8.7073, 0.300000, -0.579736, -0.000000, -0.000000, -0.150000, 0.03, -0.04, 96.01, 0.05
4.414, TAKEOFF, 10.8209, -7.8209, 8.9314, 0.300000, -0.625670, -0.000000, -0.000000, -0.150000, 0.02, -0.05, 96.01, -0.05
4.671, TAKEOFF, 18.5961, -15.5961, 10.8626, 0.300000, -1.247690, -0.000000, -0.000000, -0.150000, -0.03, -0.02, 95.99, -0.04
4.935, TAKEOFF, 19.2932, -16.2932, 10.8425, 0.300000, -1.303458, -0.000000, -0.000000, -0.150000, -0.03, -0.02, 95.99, -0.03
5.205, TAKEOFF, 24.3881, -21.3881, 9.5743, 0.300000, -1.711047, -0.000000, -0.000000, -0.150000, -0.00, -0.01, 95.98, 0.02
5.473, TAKEOFF, 24.9707, -21.9707, 9.2274, 0.300000, -1.757659, -0.000000, -0.000000, -0.150000, 0.00, -0.01, 95.98, 0.06
5.756, TAKEOFF, 28.5856, -25.5856, 5.9821, 0.300000, -2.046852, -0.000000, -0.000000, -0.150000, -0.00, 0.00, 95.96, -0.05
6.035, TAKEOFF, 28.9161, -25.9161, 5.5208, 0.300000, -2.073287, -0.000000, -0.000000, -0.150000, 0.00, 0.00, 95.95, -0.05
6.310, TAKEOFF, 30.2206, -27.2206, 2.8146, 0.300000, -2.177645, -0.000000, -0.000000, -0.150000, 0.02, -0.00, 95.94, 0.02
6.588, TAKEOFF, 30.3449, -27.3449, 2.3436, 0.300000, -2.187594, -0.000000, -0.000000, -0.150000, 0.03, -0.00, 95.94, 0.01
6.880, TAKEOFF, 30.3533, -27.3533, -1.0667, 0.300000, -2.188267, -0.000000, 0.000000, -0.150000, 0.07, -0.02, 95.95, -0.03
7.160, TAKEOFF, 30.2151, -27.2151, -1.5948, 0.300000, -2.177205, -0.000000, 0.000000, -0.150000, 0.07, -0.01, 95.95, -0.03
