# PX4 Flight Data Log
# Test started: 2025-12-23 16:51:09
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, 0.0004, 2.9996, 0.0026, 0.759616, 0.119983, 0.000017, -0.000385, 0.002176, 0.02, 0.04, 96.57, -0.03
0.021, TAKEOFF, -0.0003, 3.0003, 0.0024, 0.760165, 0.120011, 0.000513, -0.000359, 0.064122, 0.02, 0.03, 96.57, -0.03
0.042, TAKEOFF, -0.0012, 3.0012, 0.0021, 0.760732, 0.120047, 0.001006, -0.000321, 0.125793, 0.02, 0.03, 96.57, 0.00
0.062, TAKEOFF, -0.0023, 3.0023, 0.0019, 0.761001, 0.120092, 0.001200, -0.000292, 0.150000, 0.02, 0.03, 96.56, -0.02
0.083, TAKEOFF, -0.0037, 3.0037, 0.0018, 0.761083, 0.120149, 0.001200, -0.000266, 0.150000, 0.02, 0.03, 96.56, -0.04
0.104, TAKEOFF, -0.0052, 3.0052, 0.0013, 0.761215, 0.120208, 0.001200, -0.000192, 0.150000, 0.02, 0.02, 96.56, -0.01
0.438, TAKEOFF, -0.0069, 3.0069, 0.0010, 0.761325, 0.120276, 0.001200, -0.000151, 0.150000, 0.02, 0.02, 96.56, 0.00
0.742, TAKEOFF, -0.0090, 3.0090, 0.0004, 0.761500, 0.120361, 0.001200, -0.000061, 0.150000, 0.02, 0.02, 96.56, -0.00
1.057, TAKEOFF, -0.0416, 3.0416, -0.0011, 0.763032, 0.121664, 0.001200, 0.000168, 0.150000, -0.01, 0.01, 96.56, -0.07
1.341, TAKEOFF, -0.0412, 3.0412, 0.0429, 0.756415, 0.121648, 0.001200, -0.006433, 0.150000, -0.01, 0.02, 96.56, -0.01
1.644, TAKEOFF, -0.0372, 3.0372, 0.0948, 0.748465, 0.121487, 0.001200, -0.014222, 0.150000, -0.01, 0.02, 96.56, -0.01
1.937, TAKEOFF, -0.0301, 3.0301, 0.1411, 0.741231, 0.121203, 0.001200, -0.021172, 0.150000, -0.01, 0.03, 96.57, 0.03
2.147, TAKEOFF, 0.0147, 2.9853, 0.2873, 0.717517, 0.119411, 0.001200, -0.043094, 0.150000, -0.01, 0.04, 96.57, -0.02
2.333, TAKEOFF, 0.0360, 2.9640, 0.3343, 0.709620, 0.118559, 0.001200, -0.050139, 0.150000, -0.01, 0.05, 96.58, -0.04
2.606, TAKEOFF, 0.1450, 2.8550, 0.5116, 0.678651, 0.114199, 0.001200, -0.076747, 0.150000, 0.01, 0.04, 96.58, 0.01
2.869, TAKEOFF, 0.1822, 2.8178, 0.5593, 0.670014, 0.112713, 0.001200, -0.083899, 0.150000, 0.01, 0.04, 96.58, 0.00
3.137, TAKEOFF, 0.6233, 2.3767, 0.9735, 0.570240, 0.095070, 0.001200, -0.146030, 0.150000, 0.00, 0.03, 96.58, -0.01
3.425, TAKEOFF, 0.6907, 2.3093, 1.0167, 0.561061, 0.092373, 0.001200, -0.152512, 0.150000, 0.00, 0.03, 96.57, -0.02
3.708, TAKEOFF, 1.6176, 1.3824, 1.3617, 0.472245, 0.055297, 0.001200, -0.204253, 0.150000, -0.01, 0.01, 96.59, 0.02
3.983, TAKEOFF, 1.7061, 1.2939, 1.3558, 0.469582, 0.051756, 0.001200, -0.203373, 0.150000, -0.02, 0.00, 96.59, 0.06
4.170, TAKEOFF, 2.2266, 0.7734, 1.2147, 0.469935, 0.030934, 0.001200, -0.182199, 0.150000, -0.02, 0.01, 96.56, -0.04
4.360, TAKEOFF, 2.3019, 0.6981, 1.1549, 0.475881, 0.027923, 0.001200, -0.173242, 0.150000, -0.02, 0.01, 96.56, -0.03
4.621, TAKEOFF, 2.7194, 0.2806, 0.5068, 0.556403, 0.011224, 0.001200, -0.076021, 0.150000, -0.00, 0.02, 96.54, -0.00
4.874, TAKEOFF, 2.7407, 0.2593, 0.3098, 0.585095, 0.010370, 0.001200, -0.046476, 0.150000, -0.00, 0.03, 96.54, -0.01
5.142, TAKEOFF, 2.4103, 0.5897, -1.3932, 0.850000, 0.023588, 0.001200, 0.208975, 0.150000, 0.01, 0.03, 96.55, 0.01
5.408, TAKEOFF, 1.3751, 1.6249, -3.3404, 0.850000, 0.064997, 0.001200, 0.501060, 0.150000, 0.03, 0.04, 96.55, -0.05
5.611, TAKEOFF, 1.1334, 1.8666, -3.6552, 0.850000, 0.074664, 0.001200, 0.548282, 0.150000, 0.03, 0.04, 96.55, 0.06
5.874, TAKEOFF, 0.8710, 2.1290, -3.9702, 0.850000, 0.085158, 0.001200, 0.595537, 0.150000, 0.03, 0.04, 96.55, 0.02
6.142, TAKEOFF, 0.4011, 2.5989, -4.4801, 0.850000, 0.103955, 0.001200, 0.672008, 0.150000, 0.03, 0.04, 96.55, -0.02
6.412, TAKEOFF, 0.0855, 2.9145, -4.7893, 0.850000, 0.116581, 0.001200, 0.718397, 0.150000, 0.03, 0.04, 96.55, -0.03
6.681, TAKEOFF, -0.3705, 3.3705, -0.1286, 0.795306, 0.134818, 0.001200, 0.019288, 0.150000, 0.03, 0.03, 96.55, 0.00
6.976, TAKEOFF, -0.3771, 3.3771, -0.1279, 0.795468, 0.135086, 0.001200, 0.019182, 0.150000, 0.03, 0.03, 96.55, 0.03
7.254, TAKEOFF, -0.2399, 3.2399, 0.7198, 0.662819, 0.129597, 0.001200, -0.107977, 0.150000, 0.04, 0.02, 96.56, -0.06
7.530, TAKEOFF, 0.4042, 2.5958, 1.8883, 0.461793, 0.103833, 0.001200, -0.283240, 0.150000, 0.04, 0.02, 96.56, 0.06
7.804, TAKEOFF, 0.5514, 2.4486, 2.0754, 0.407832, 0.097942, 0.001200, -0.311310, 0.150000, 0.04, 0.02, 96.56, -0.01
8.104, TAKEOFF, 3.2453, -0.2453, 4.3099, 0.400000, -0.009811, 0.000611, -0.646492, 0.076425, 0.01, 0.01, 96.57, -0.01
8.388, TAKEOFF, 3.5824, -0.5824, 4.4414, 0.400000, -0.023296, -0.000710, -0.666213, -0.088715, 0.00, 0.01, 96.57, 0.03
8.641, TAKEOFF, 4.5580, -1.5580, 4.7603, 0.400000, -0.062320, -0.001200, -0.714042, -0.150000, -0.02, 0.02, 96.57, 0.00
