# PX4 Flight Data Log
# Test started: 2025-12-23 17:53:43
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
0.000, TAKEOFF, -0.0190, 3.0190, -0.1840, 0.749770, 0.090570, 0.000000, 0.009199, 0.001498, 0.05, 0.03, 95.94, -0.00
0.021, TAKEOFF, -0.0241, 3.0241, -0.1871, 0.750078, 0.090722, 0.000000, 0.009357, 0.063942, 0.05, 0.04, 95.94, 0.01
0.042, TAKEOFF, -0.0298, 3.0298, -0.1902, 0.750405, 0.090893, 0.000000, 0.009512, 0.126225, 0.05, 0.05, 95.93, -0.03
0.062, TAKEOFF, -0.0348, 3.0348, -0.1928, 0.750684, 0.091044, 0.000000, 0.009640, 0.150000, 0.06, 0.05, 95.93, 0.00
0.083, TAKEOFF, -0.0403, 3.0403, -0.1956, 0.750986, 0.091208, 0.000000, 0.009778, 0.150000, 0.06, 0.06, 95.92, 0.00
0.103, TAKEOFF, -0.0466, 3.0466, -0.1988, 0.751337, 0.091397, 0.000000, 0.009939, 0.150000, 0.05, 0.06, 95.92, 0.02
0.296, TAKEOFF, -0.0522, 3.0522, -0.2017, 0.751653, 0.091566, 0.000000, 0.010087, 0.150000, 0.05, 0.07, 95.92, 0.02
0.653, TAKEOFF, -0.0576, 3.0576, -0.2042, 0.751939, 0.091728, 0.000000, 0.010210, 0.150000, 0.05, 0.06, 95.92, -0.01
0.996, TAKEOFF, -0.1607, 3.1607, -0.2185, 0.755748, 0.094820, 0.000000, 0.010927, 0.150000, 0.01, 0.07, 95.91, 0.01
1.175, TAKEOFF, -0.1622, 3.1622, -0.1909, 0.754410, 0.094867, 0.000000, 0.009543, 0.150000, 0.01, 0.06, 95.92, 0.00
1.489, TAKEOFF, -0.1616, 3.1616, -0.1583, 0.752761, 0.094847, 0.000000, 0.007914, 0.150000, 0.01, 0.06, 95.92, 0.03
1.795, TAKEOFF, -0.1575, 3.1575, -0.1209, 0.750771, 0.094724, 0.000000, 0.006046, 0.150000, 0.01, 0.06, 95.92, -0.01
2.103, TAKEOFF, -0.1508, 3.1508, -0.0874, 0.748893, 0.094525, 0.000000, 0.004368, 0.150000, 0.00, 0.06, 95.92, 0.03
2.396, TAKEOFF, -0.1417, 3.1417, -0.0533, 0.746913, 0.094250, 0.000000, 0.002664, 0.150000, -0.00, 0.06, 95.92, 0.03
2.572, TAKEOFF, -0.0620, 3.0620, 0.1121, 0.736255, 0.091861, 0.000000, -0.005607, 0.150000, -0.02, 0.06, 95.91, -0.01
2.748, TAKEOFF, -0.0379, 3.0379, 0.1473, 0.733772, 0.091138, 0.000000, -0.007366, 0.150000, -0.02, 0.06, 95.91, -0.02
